"","rii","X","Region","site","ID","Microsite","RDM","x","y","z","bur.drip","bur.buf","max.veg.height","rdm.cov","green.cov","non.veg.cov","largewood.cov","lrgrocks.cov","AT","PF","PF.out","PF.in","RDM.date","comments","ESI","Max","arid","uniID"
"65",0.0588235294117647,65,"Panoche","PAN2",40,"ephedra",6.5164,435,405,225,2,6,32,90,0,10,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 40"
"67",0.407407407407407,67,"Panoche","PAN2",39,"ephedra",3.0141,280,275,130,5,2,25,95,0,5,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 39"
"69",0.5,69,"Panoche","PAN2",38,"ephedra",3.3995,390,325,130,9,1,23,60,0,40,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 38"
"71",0.529411764705882,71,"Panoche","PAN2",37,"ephedra",3.4578,205,180,80,2,3,28,65,0,35,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 37"
"73",0.7,73,"Panoche","PAN2",36,"ephedra",2.8605,420,300,90,4,0,28,85,0,15,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 36"
"75",0.818181818181818,75,"Panoche","PAN2",35,"ephedra",7.0913,250,245,90,1,2,49,100,0,0,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 35"
"77",0.2,77,"Panoche","PAN2",34,"ephedra",1.7295,235,200,95,3,0,19,15,0,85,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 34"
"79",0.919191919191919,79,"Panoche","PAN2",33,"ephedra",4.1675,325,260,115,1,6,33,95,0,5,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 33"
"81",0.875,81,"Panoche","PAN2",32,"ephedra",8.1265,230,170,130,2,4,36,75,0,25,NA,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2219,35.3,15.4508196721311,"PAN2 32"
"83",0.684210526315789,83,"Panoche","PAN2",31,"ephedra",4.3405,250,200,95,1,3,27,80,0,20,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 31"
"85",0.777777777777778,85,"Panoche","PAN2",30,"ephedra",0.8877,285,260,110,2,0,26,40,0,60,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 30"
"87",0.923076923076923,87,"Panoche","PAN2",29,"ephedra",4.1709,270,235,130,1,0,32,75,0,25,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 29"
"89",0.6,89,"Panoche","PAN2",28,"ephedra",3.2799,240,235,80,2,5,25,40,0,60,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 28"
"91",0.0666666666666667,91,"Panoche","PAN2",27,"ephedra",5.8751,420,375,200,4,1,35,80,0,20,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 27"
"93",0.333333333333333,93,"Panoche","PAN2",26,"ephedra",1.4861,240,220,115,0,2,18,30,0,70,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 26"
"95",0.733333333333333,95,"Panoche","PAN2",25,"ephedra",3.8503,190,185,105,4,0,28,65,0,35,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 25"
"97",0.888888888888889,97,"Panoche","PAN2",24,"ephedra",4.3369,275,230,135,0,3,30,85,0,15,NA,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2219,35.3,15.4508196721311,"PAN2 24"
"99",0.75,99,"Panoche","PAN2",23,"ephedra",1.5616,215,185,115,2,0,24,35,0,65,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 23"
"101",0.866666666666667,101,"Panoche","PAN2",22,"ephedra",3.1243,240,210,145,2,2,25,70,0,30,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 22"
"103",0.807228915662651,103,"Panoche","PAN2",21,"ephedra",4.5241,255,225,95,0,3,35,75,0,25,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 21"
"105",0.307692307692308,105,"Panoche","PAN2",20,"ephedra",3.8188,230,175,90,0,2,43,85,0,15,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 20"
"107",0.625,107,"Panoche","PAN2",19,"ephedra",8.2381,180,120,125,1,4,40,65,0,35,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 19"
"109",0.428571428571429,109,"Panoche","PAN2",18,"ephedra",1.6608,190,175,135,2,0,21,20,0,80,NA,NA,NA,"N","june.23.morning","june.26","june.26","ephedra pitfall pushed out",0.2219,35.3,15.4508196721311,"PAN2 18"
"111",0.846153846153846,111,"Panoche","PAN2",17,"ephedra",3.5405,185,175,135,1,0,45,60,0,40,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 17"
"113",0.917808219178082,113,"Panoche","PAN2",16,"ephedra",5.1817,220,165,85,3,0,32,70,0,30,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 16"
"115",0.4,115,"Panoche","PAN2",15,"ephedra",1.3083,270,250,110,0,1,19,35,0,65,NA,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2219,35.3,15.4508196721311,"PAN2 15"
"117",0.756756756756757,117,"Panoche","PAN2",13,"ephedra",3.3122,315,220,120,3,0,23,65,0,35,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 13"
"119",0.764705882352941,119,"Panoche","PAN2",12,"ephedra",2.9567,260,245,95,3,1,42,75,0,25,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2219,35.3,15.4508196721311,"PAN2 12"
"121",0.777777777777778,121,"Panoche","PAN2",11,"ephedra",4.4621,200,175,105,0,1,32,40,0,30,30,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2219,35.3,15.4508196721311,"PAN2 11"
"123",0.780821917808219,123,"Panoche","PAN2",6,"ephedra",7.0433,225,200,80,1,1,46,65,0,35,NA,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2219,35.3,15.4508196721311,"PAN2 6"
"125",0.6,125,"Panoche","PAN1",1,"ephedra",5.3291,235,225,105,1,0,46,80,0,20,NA,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 1"
"127",0.6,127,"Panoche","PAN1",2,"ephedra",4.4463,265,220,110,5,0,36,100,0,0,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 2"
"129",0.2,129,"Panoche","PAN1",3,"ephedra",3.6283,380,345,100,1,2,28,90,0,10,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 3"
"131",0.333333333333333,131,"Panoche","PAN1",4,"ephedra",2.2264,185,175,125,0,1,33,70,0,30,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 4"
"133",0.391304347826087,133,"Panoche","PAN1",5,"ephedra",9.142,220,170,90,1,2,36,80,0,20,NA,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 5"
"135",0.818181818181818,135,"Panoche","PAN1",6,"ephedra",2.1283,205,185,100,1,1,30,50,0,50,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 6"
"137",0.846153846153846,137,"Panoche","PAN1",7,"ephedra",3.0862,325,265,110,3,2,40,60,0,40,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 7"
"139",0.833333333333333,139,"Panoche","PAN1",8,"ephedra",4.948,235,150,95,4,0,39,55,0,45,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 8"
"141",0.647058823529412,141,"Panoche","PAN1",9,"ephedra",2.5443,455,280,125,2,0,26,70,0,30,NA,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 9"
"143",0.724137931034483,143,"Panoche","PAN1",10,"ephedra",2.1032,305,285,105,2,0,34,50,0,50,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 10"
"145",0.836734693877551,145,"Panoche","PAN1",11,"ephedra",4.4488,315,275,110,1,1,43,45,0,55,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 11"
"147",-0.2,147,"Panoche","PAN1",12,"ephedra",2.9528,230,230,115,3,4,35,40,0,60,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 12"
"149",0.684210526315789,149,"Panoche","PAN1",13,"ephedra",2.3784,375,260,70,1,0,36,80,0,20,NA,NA,NA,"Y","june.23.morning","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 13"
"151",0.538461538461538,151,"Panoche","PAN1",14,"ephedra",2.3717,295,275,110,1,3,23,50,0,50,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 14"
"153",0.416666666666667,153,"Panoche","PAN1",15,"ephedra",6.185,355,325,115,1,2,49,85,0,15,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 15"
"155",0.241379310344828,155,"Panoche","PAN1",16,"ephedra",5.7347,375,290,95,2,0,28,90,0,10,NA,NA,"Y",NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 16"
"157",0.846153846153846,157,"Panoche","PAN1",17,"ephedra",2.8932,335,300,95,3,1,37,60,0,40,NA,NA,NA,"Y","june.23","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 17"
"159",0.830985915492958,159,"Panoche","PAN1",18,"ephedra",2.3187,335,240,110,2,0,44,65,0,35,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 18"
"161",0.515151515151515,161,"Panoche","PAN1",19,"ephedra",0.5476,230,175,125,3,4,22,25,0,75,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 19"
"163",0.6,163,"Panoche","PAN1",20,"ephedra",1.2769,280,240,130,2,1,36,80,0,20,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 20"
"165",-0.230769230769231,165,"Panoche","PAN1",21,"ephedra",0.0756,355,345,195,4,0,23,5,0,95,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 21"
"167",0.125,167,"Panoche","PAN1",22,"ephedra",2.0379,315,245,80,3,4,33,45,0,55,NA,NA,"Y","Y","june.23","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 22"
"169",0.130434782608696,169,"Panoche","PAN1",23,"ephedra",3.5762,695,585,185,5,3,49,65,0,35,NA,NA,"Y",NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 23"
"171",0.461538461538462,171,"Panoche","PAN1",24,"ephedra",5.537,455,325,155,4,3,40,95,0,5,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 24"
"173",0.461538461538462,173,"Panoche","PAN1",25,"ephedra",4.5535,265,215,115,2,0,34,95,0,5,NA,NA,NA,NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 25"
"175",0.4,175,"Panoche","PAN1",26,"ephedra",3.49,290,240,125,3,3,37,35,0,65,NA,NA,NA,"Y","june.23","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 26"
"177",0.0344827586206897,177,"Panoche","PAN1",27,"ephedra",3.6248,190,165,90,2,0,25,75,0,25,NA,NA,"Y",NA,NA,NA,"june.25",NA,0.2257,35.3,15.4508196721311,"PAN1 27"
"179",0.125,179,"Panoche","PAN1",30,"ephedra",6.6091,270,260,130,3,0,36,45,0,55,NA,NA,NA,"Y","june.23","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 30"
"181",0.690140845070423,181,"Panoche","PAN1",34,"ephedra",2.341,360,280,145,3,2,30,60,0,4,NA,NA,NA,"Y","june.23","june.26","june.26","mutillid, wasp etc",0.2257,35.3,15.4508196721311,"PAN1 34"
"183",0.866666666666667,183,"Panoche","PAN1",38,"ephedra",5.2312,285,265,90,4,0,30,70,0,30,NA,NA,NA,"Y","june.23","june.26","june.26",NA,0.2257,35.3,15.4508196721311,"PAN1 38"
"185",-0.411764705882353,185,"Cuyama","C1",1,"ephedra",7.4961,370,320,155,2,1,37,25,0,75,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 1"
"187",0.6,187,"Cuyama","C1",2,"ephedra",2.5613,410,405,210,1,0,31,80,0,5,15,NA,NA,"Y","june.28","july.1","july.1",NA,0.1145,30.9,22.7916666666667,"C1 2"
"189",0.6,189,"Cuyama","C1",3,"ephedra",2.0635,620,475,190,4,1,30,20,0,80,NA,NA,"Y",NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 3"
"191",0.578947368421053,191,"Cuyama","C1",4,"ephedra",5.2461,685,605,185,6,1,28,75,0,25,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 4"
"193",0.666666666666667,193,"Cuyama","C1",5,"ephedra",0.1332,205,200,125,2,1,23,15,0,85,NA,NA,"Y",NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 5"
"195",-0.307692307692308,195,"Cuyama","C1",6,"ephedra",2.7842,225,195,160,1,0,32,45,0,55,NA,NA,"Y","Y","june.28","july.1","july.1",NA,0.1145,30.9,22.7916666666667,"C1 6"
"197",-0.272727272727273,197,"Cuyama","C1",7,"ephedra",0.2611,450,360,155,3,0,42,20,0,80,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 7"
"199",0.538461538461538,199,"Cuyama","C1",8,"ephedra",3.3871,400,335,140,3,0,38,50,0,50,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 8"
"201",0.714285714285714,201,"Cuyama","C1",9,"ephedra",5.1924,455,395,170,1,0,33,90,0,10,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 9"
"203",0.36,203,"Cuyama","C1",10,"ephedra",5.0761,295,245,170,2,0,49,85,0,15,NA,NA,"Y","Y","june.28","july.1","july.1",NA,0.1145,30.9,22.7916666666667,"C1 10"
"205",0.714285714285714,205,"Cuyama","C1",11,"ephedra",1.8273,575,510,210,0,3,55,60,5,35,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 11"
"207",0.888888888888889,207,"Cuyama","C1",12,"ephedra",3.1016,315,315,160,0,0,19,85,0,15,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 12"
"209",-0.142857142857143,209,"Cuyama","C1",13,"ephedra",4.5273,270,220,135,3,0,26,30,0,64,10,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 13"
"211",0.818181818181818,211,"Cuyama","C1",14,"ephedra",2.9378,425,400,195,3,0,32,50,0,20,30,NA,NA,"Y","june.28","july.1","july.1",NA,0.1145,30.9,22.7916666666667,"C1 14"
"213",0.818181818181818,213,"Cuyama","C1",15,"ephedra",2.8709,415,355,200,2,1,49,80,0,15,5,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 15"
"215",0.428571428571429,215,"Cuyama","C1",16,"ephedra",0,315,310,180,0,0,18,5,0,95,NA,NA,NA,NA,NA,NA,"june.29","0 rdm",0.1145,30.9,22.7916666666667,"C1 16"
"217",0.578947368421053,217,"Cuyama","C1",17,"ephedra",0.9063,470,450,215,2,3,23,30,0,50,20,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 17"
"219",0.166666666666667,219,"Cuyama","C1",18,"ephedra",0.2944,375,365,120,1,0,20,7,0,91,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.1145,30.9,22.7916666666667,"C1 18"
"221",0.538461538461538,221,"Cuyama","C1",19,"ephedra",2.9319,415,385,185,0,0,32,50,0,50,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 19"
"223",0.8,223,"Cuyama","C1",20,"ephedra",1.4156,520,320,165,1,0,24,45,0,55,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 20"
"225",-0.6,225,"Cuyama","C1",21,"ephedra",0.6647,305,260,160,2,0,17,5,0,85,15,NA,NA,"N","june.28","july.1","july.1","ephedra pitfall popped out",0.1145,30.9,22.7916666666667,"C1 21"
"227",0.866666666666667,227,"Cuyama","C1",22,"ephedra",1.8625,320,260,130,0,1,15,70,0,25,5,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 22"
"229",0.166666666666667,229,"Cuyama","C1",23,"ephedra",1.0859,290,245,150,3,2,52,35,0,65,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 23"
"231",0.333333333333333,231,"Cuyama","C1",24,"ephedra",0,320,285,170,2,1,23,8,0,92,NA,NA,NA,NA,NA,NA,"june.29","0 rdm",0.1145,30.9,22.7916666666667,"C1 24"
"233",-0.0344827586206897,233,"Cuyama","C1",25,"ephedra",3.9423,320,320,185,6,0,34,70,0,30,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 25"
"235",-0.578947368421053,235,"Cuyama","C1",26,"ephedra",1.6736,380,280,115,2,0,16,20,0,75,5,NA,NA,"Y","june.28","july.1","july.1",NA,0.1145,30.9,22.7916666666667,"C1 26"
"237",0.454545454545455,237,"Cuyama","C1",27,"ephedra",1.0719,380,315,190,3,0,30,40,0,60,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 27"
"239",0.2,239,"Cuyama","C1",28,"ephedra",3.1129,470,405,275,1,0,34,75,0,25,NA,NA,"Y",NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 28"
"241",0.836734693877551,241,"Cuyama","C1",29,"ephedra",1.2349,485,375,265,5,0,30,45,0,55,NA,NA,"Y",NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"C1 29"
"243",-1,243,"Cuyama","C1",30,"ephedra",0,425,375,190,1,0,NA,0,0,0,0,NA,NA,"Y","june.28","july.1","july.1","0 rdm",0.1145,30.9,22.7916666666667,"C1 30"
"245",0.777777777777778,245,"Cuyama","C2",1,"ephedra",3.2859,355,290,160,0,0,28,40,0,60,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"C2 1"
"247",0.647058823529412,247,"Cuyama","C2",2,"ephedra",3.7826,295,250,150,0,0,29,70,0,10,20,NA,NA,"Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"C2 2"
"249",0.80952380952381,249,"Cuyama","C2",3,"ephedra",5.3977,460,450,130,2,0,44,95,0,5,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"C2 3"
"251",0.818181818181818,251,"Cuyama","C2",4,"ephedra",13.5774,305,180,130,1,1,53,100,0,0,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"C2 4"
"253",0.764705882352941,253,"Cuyama","C2",5,"ephedra",4.949,230,135,115,0,0,30,60,0,40,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"C2 5"
